"","En casa","Fallec.","Hospital.","En UCI","NA","Recuperados"
"Antioquia",13446,239,842,142,12,5070
"Atlantico",14573,2265,1671,229,115,27095
"Bogota D.C",37102,1794,4216,347,109,27281
"Bolivar",4505,516,355,53,36,10249
"Boyaca",257,22,51,5,5,354
"Caldas",217,7,24,7,2,253
"Caquetá",365,7,47,4,1,52
"Cauca",680,37,116,35,4,437
"Cesar",828,42,160,12,5,1178
"Cordoba",1610,357,351,65,17,773
"Cundinamarca",2773,150,411,38,14,2972
"Chocó",823,83,176,32,5,1594
"Huila",190,17,17,2,4,360
"La Guajira",937,92,79,15,3,536
"Magdalena",1975,277,315,43,20,1988
"Meta",629,26,40,5,4,1372
"Nariño",2042,179,350,39,11,3371
"Norte De Santander",684,42,72,23,2,307
"Quindio",44,6,2,0,1,170
"Risaralda",496,22,36,10,1,546
"Santander",1138,54,165,20,5,752
"Sucre",2451,258,494,22,9,1492
"Tolima",711,34,50,8,4,1102
"Valle del Cauca",7019,722,1337,303,44,9739
"Arauca",79,1,6,1,0,86
"Casanare",88,3,15,0,0,83
"Putumayo",287,18,58,4,1,18
"Amazonas",7,0,0,0,1,23
"Guainia",66,101,12,6,2,2279
"Guaviare",0,1,0,0,0,13
"Vaupes",10,0,2,0,0,39
"Vichada",32,1,0,0,0,28
"San Andres P.y Sta C.",0,0,1,0,0,1
